"","country","scenario","value2100_PropCurrent","ReefAdjacent","OnReef","Total","inCoralValues","Tourismvalue2100"
"245","Sri Lanka",2.6,1.05930569463232,75570,6801,82371,TRUE,87256.0693725586
"246","Sri Lanka",4.5,0.228043223448436,75570,6801,82371,TRUE,18784.1483586711
"247","Sri Lanka",6,0.0734031758083344,75570,6801,82371,TRUE,6046.29299450832
"248","Sri Lanka",8.5,9.28518875882984e-05,75570,6801,82371,TRUE,7.64830283253573
"249","Sudan",2.6,1.82830509984953,4051,24429,28480,TRUE,52070.1292437147
"250","Sudan",4.5,0.561784607873592,4051,24429,28480,TRUE,15999.6256322399
"251","Sudan",6,0.137290843350083,4051,24429,28480,TRUE,3910.04321861037
"252","Sudan",8.5,-1.37957077741154e-09,4051,24429,28480,TRUE,-3.92901757406805e-05
"253","Taiwan",2.6,2.23912484340946,274102,49338,323440,TRUE,724222.539352357
"254","Taiwan",4.5,1.18383095279759,274102,49338,323440,TRUE,382898.283372852
"255","Taiwan",6,0.588277262987154,274102,49338,323440,TRUE,190272.397940565
"256","Taiwan",8.5,4.00857290228788e-05,274102,49338,323440,TRUE,12.9653281951599
"257","Tanzania",2.6,0.968859873264241,65867,65209,131076,TRUE,126994.276747984
"258","Tanzania",4.5,0.113003924714443,65867,65209,131076,TRUE,14812.1024358703
"259","Tanzania",6,0.0400363890504131,65867,65209,131076,TRUE,5247.80973117194
"260","Tanzania",8.5,9.35670997995075e-09,65867,65209,131076,TRUE,0.00122644011733202
"261","Thailand",2.6,0.830363881787857,1331577,1078577,2410154,TRUE,2001304.83114653
"262","Thailand",4.5,0.106985197512883,1331577,1078577,2410154,TRUE,257850.801726464
"263","Thailand",6,0.0169996490899039,1331577,1078577,2410154,TRUE,40971.7722526282
"264","Thailand",8.5,1.39398232395133e-09,1331577,1078577,2410154,TRUE,0.0033597120740006
"265","Tonga",2.6,1.37688864064329,3776,9515,13291,TRUE,18300.2269227899
"266","Tonga",4.5,0.342699505484256,3776,9515,13291,TRUE,4554.81912739125
"267","Tonga",6,0.0866812521362563,3776,9515,13291,TRUE,1152.08052214298
"268","Tonga",8.5,0.0051623349996851,3776,9515,13291,TRUE,68.6125944808146
"269","Trinidad and Tobago",2.6,2.70926100708124e-05,19131,25827,44958,TRUE,1.21802956356358
"270","Trinidad and Tobago",4.5,3.49381071538981e-07,19131,25827,44958,TRUE,0.0157074742142495
"271","Trinidad and Tobago",6,1.81082748222171e-07,19131,25827,44958,TRUE,0.00814111819457235
"272","Trinidad and Tobago",8.5,5.34769742418901e-17,19131,25827,44958,TRUE,2.40421780796689e-12
"273","Turks and Caicos Islands",2.6,0.0811060518676221,30027,67560,97587,TRUE,7914.89628360563
"274","Turks and Caicos Islands",4.5,0.0157938207978189,30027,67560,97587,TRUE,1541.27159019675
"275","Turks and Caicos Islands",6,0.00646318671081018,30027,67560,97587,TRUE,630.723001547833
"276","Turks and Caicos Islands",8.5,4.75868144530376e-09,30027,67560,97587,TRUE,0.000464385446202858
"277","United Arab Emirates",2.6,0.170355065725493,377673,67981,445654,TRUE,75919.4164608288
"278","United Arab Emirates",4.5,0.0174411692113058,377673,67981,445654,TRUE,7772.72682369526
"279","United Arab Emirates",6,0.00584046488464613,377673,67981,445654,TRUE,2602.82653770208
"280","United Arab Emirates",8.5,-1.26861927678817e-11,377673,67981,445654,TRUE,-5.65365255177755e-06
"281","United States",2.6,0.119974398901959,1530666,857063,2387729,TRUE,286466.351515776
"282","United States",4.5,0.00643542963343833,1530666,857063,2387729,TRUE,15366.0619632201
"283","United States",6,0.000837464640015844,1530666,857063,2387729,TRUE,1999.63860744039
"284","United States",8.5,-9.80141712096254e-11,1530666,857063,2387729,TRUE,-0.000234031279008188
"285","Vanuatu",2.6,1.6191971329069,20488,29503,49991,TRUE,80945.2838711487
"286","Vanuatu",4.5,0.469036497220235,20488,29503,49991,TRUE,23447.6035325368
"287","Vanuatu",6,0.203832078108518,20488,29503,49991,TRUE,10189.7694167229
"288","Vanuatu",8.5,3.57482857458872e-06,20488,29503,49991,TRUE,0.178709255272265
"289","Venezuela",2.6,0.0061343283917667,183029,98836,281865,TRUE,1729.05247214532
"290","Venezuela",4.5,4.76303239798184e-05,183029,98836,281865,TRUE,13.4253212685715
"291","Venezuela",6,9.91234237642224e-06,183029,98836,281865,TRUE,2.79394238393025
"292","Venezuela",8.5,3.60121122802611e-13,183029,98836,281865,TRUE,1.01505540278758e-07
"293","Vietnam",2.6,1.26265884267751,116479,20966,137445,TRUE,173546.14463181
"294","Vietnam",4.5,0.312064639042342,116479,20966,137445,TRUE,42891.7243131747
"295","Vietnam",6,0.100324456086899,116479,20966,137445,TRUE,13789.0948668638
"296","Vietnam",8.5,2.30640455574476e-07,116479,20966,137445,TRUE,0.0317003774164338
"297","British Virgin Islands",2.6,1.26060391510019,61883,133667,195550,TRUE,246511.095597841
"298","British Virgin Islands",4.5,0.190120136602901,61883,133667,195550,TRUE,37177.9927126972
"299","British Virgin Islands",6,0.0260921535158696,61883,133667,195550,TRUE,5102.32062002831
"300","British Virgin Islands",8.5,-3.21545322258384e-08,61883,133667,195550,TRUE,-0.00628781877676269
"301","Virgin Islands of the United States",2.6,0.216710503543315,127215,148841,276056,TRUE,59824.2347661533
"302","Virgin Islands of the United States",4.5,0.0120981836648392,127215,148841,276056,TRUE,3339.77618978086
"303","Virgin Islands of the United States",6,0.00174673864361095,127215,148841,276056,TRUE,482.197683000666
"304","Virgin Islands of the United States",8.5,-1.19376106662151e-11,127215,148841,276056,TRUE,-3.29544905007267e-06
